Date,Open,High,Low,Close,Volume
04/23/2021,"592.00","602.00","590.00","602.00","28,247,750"
04/22/2021,"596.00","598.00","591.00","591.00","35,444,820"
04/21/2021,"599.00","599.00","592.00","592.00","40,832,719"
04/20/2021,"598.00","602.00","595.00","602.00","35,983,059"
04/19/2021,"605.00","607.00","601.00","603.00","25,058,971"
04/16/2021,"610.00","611.00","603.00","610.00","49,897,191"
04/15/2021,"612.00","619.00","607.00","619.00","34,480,246"
04/14/2021,"608.00","612.00","600.00","612.00","30,976,920"
04/13/2021,"604.00","613.00","604.00","605.00","26,577,920"
04/12/2021,"612.00","613.00","603.00","605.00","23,220,820"
04/09/2021,"618.00","618.00","609.00","610.00","27,841,609"
04/08/2021,"606.00","613.00","603.00","613.00","24,682,279"
04/07/2021,"614.00","614.00","608.00","610.00","25,213,961"
04/06/2021,"615.00","616.00","608.00","610.00","37,520,207"
04/01/2021,"598.00","602.00","594.00","602.00","44,344,762"
03/31/2021,"596.00","597.00","587.00","587.00","40,401,672"
03/30/2021,"600.00","600.00","592.00","597.00","34,022,340"
03/29/2021,"599.00","602.00","596.00","599.00","38,602,910"
03/26/2021,"582.00","592.00","580.00","590.00","37,638,238"
03/25/2021,"572.00","581.00","570.00","575.00","70,705,805"
03/24/2021,"571.00","582.00","571.00","576.00","114,240,305"
03/23/2021,"597.00","603.00","593.00","594.00","30,066,350"
03/22/2021,"588.00","598.00","586.00","593.00","35,208,367"
03/19/2021,"594.00","598.00","591.00","591.00","73,417,852"
03/18/2021,"606.00","609.00","602.00","602.00","29,926,840"
03/17/2021,"612.00","612.00","602.00","604.00","41,040,129"
03/16/2021,"610.00","613.00","607.00","613.00","37,594,820"
03/15/2021,"614.00","614.00","609.00","611.00","27,759,900"
03/12/2021,"615.00","618.00","609.00","614.00","33,721,992"
03/11/2021,"596.00","612.00","595.00","609.00","55,110,781"
03/10/2021,"601.00","601.00","593.00","597.00","41,196,441"
03/09/2021,"585.00","595.00","585.00","595.00","71,364,336"
03/08/2021,"608.00","610.00","598.00","598.00","45,330,352"
03/05/2021,"588.00","605.00","584.00","601.00","82,789,523"
03/04/2021,"609.00","611.00","601.00","601.00","71,319,375"
03/03/2021,"609.00","622.00","601.00","622.00","49,345,379"
03/02/2021,"621.00","622.00","609.00","609.00","55,444,969"
02/26/2021,"611.00","618.00","606.00","606.00","117,808,094"
02/25/2021,"636.00","636.00","628.00","635.00","43,994,273"
02/24/2021,"627.00","636.00","625.00","625.00","69,675,633"
02/23/2021,"641.00","643.00","633.00","641.00","51,641,020"
02/22/2021,"660.00","662.00","650.00","650.00","37,296,070"
02/19/2021,"656.00","657.00","647.00","652.00","51,364,840"
02/18/2021,"664.00","665.00","656.00","660.00","53,872,340"
02/17/2021,"663.00","668.00","660.00","663.00","109,485,398"
02/05/2021,"638.00","641.00","631.00","632.00","54,090,832"
02/04/2021,"626.00","632.00","620.00","627.00","47,008,871"
02/03/2021,"638.00","642.00","630.00","630.00","49,634,219"
02/02/2021,"629.00","638.00","622.00","632.00","79,976,203"
02/01/2021,"595.00","612.00","587.00","611.00","68,880,930"
01/29/2021,"619.00","619.00","591.00","591.00","93,634,883"
01/28/2021,"600.00","608.00","598.00","601.00","100,001,508"
01/27/2021,"618.00","625.00","611.00","615.00","61,490,219"
01/26/2021,"632.00","640.00","610.00","617.00","104,358,602"
01/25/2021,"642.00","646.00","626.00","633.00","96,640,281"
01/22/2021,"649.00","665.00","649.00","649.00","131,890,297"
01/21/2021,"640.00","679.00","640.00","673.00","91,912,492"
01/20/2021,"633.00","650.00","631.00","647.00","84,453,469"
01/19/2021,"618.00","632.00","613.00","627.00","51,679,273"
01/18/2021,"608.00","608.00","594.00","607.00","46,616,660"
01/15/2021,"621.00","625.00","601.00","601.00","94,365,195"
01/14/2021,"587.00","597.00","587.00","592.00","78,286,703"
01/13/2021,"595.00","605.00","593.00","605.00","63,958,680"
01/12/2021,"583.00","597.00","582.00","591.00","51,487,207"
01/11/2021,"577.00","584.00","574.00","584.00","49,822,770"
01/08/2021,"580.00","580.00","571.00","580.00","60,780,141"
01/07/2021,"554.00","570.00","553.00","565.00","51,939,762"
01/06/2021,"555.00","555.00","541.00","549.00","54,119,434"
01/05/2021,"536.00","542.00","535.00","542.00","34,839,391"
01/04/2021,"530.00","540.00","528.00","536.00","39,309,953"
12/31/2020,"526.00","530.00","524.00","530.00","30,326,330"
12/30/2020,"516.00","525.00","514.00","525.00","46,705,102"
12/29/2020,"515.00","517.00","513.00","515.00","20,151,730"
12/28/2020,"512.00","515.00","509.00","515.00","19,262,881"
12/25/2020,"514.00","515.00","510.00","511.00","12,581,140"
12/24/2020,"511.00","512.00","508.00","510.00","15,097,000"
12/23/2020,"508.00","511.00","506.00","509.00","18,320,840"
12/22/2020,"512.00","516.00","509.00","509.00","22,847,240"
12/21/2020,"512.00","517.00","508.00","516.00","35,047,129"
12/18/2020,"508.00","512.00","507.00","510.00","40,157,500"
12/17/2020,"515.00","515.00","508.00","508.00","38,706,781"
12/16/2020,"509.00","515.00","507.00","512.00","52,270,281"
12/15/2020,"507.00","510.00","504.00","504.00","40,839,887"
12/14/2020,"512.00","513.00","508.00","508.00","30,809,740"
12/11/2020,"517.00","517.00","505.00","516.00","46,791,609"
12/10/2020,"511.00","515.00","510.00","512.00","43,506,129"
12/09/2020,"521.00","524.00","520.00","520.00","43,872,699"
12/08/2020,"514.00","525.00","509.00","524.00","41,290,246"
12/07/2020,"512.00","515.00","506.00","514.00","44,737,551"
12/04/2020,"498.50","505.00","497.50","503.00","51,633,199"
12/03/2020,"499.50","499.50","495.00","497.00","35,958,641"
12/02/2020,"499.50","500.00","493.50","499.00","50,949,031"
