Date,Open,High,Low,Close,Volume
04/24/2020,"295.50","297.00","294.00","294.00","26,008,090"
04/23/2020,"300.00","300.00","294.00","295.50","39,474,473"
04/22/2020,"294.50","295.00","290.50","294.00","42,192,578"
04/21/2020,"300.50","301.50","293.50","295.00","61,479,352"
04/20/2020,"308.00","309.00","302.50","304.00","41,381,660"
04/17/2020,"303.50","308.50","300.50","306.50","116,368,203"
04/16/2020,"283.00","288.50","283.00","286.50","47,815,281"
04/15/2020,"287.00","288.50","286.00","287.50","55,216,434"
04/14/2020,"281.00","285.50","280.00","285.00","48,809,680"
04/13/2020,"278.50","281.50","278.50","278.50","22,196,590"
04/10/2020,"280.00","282.00","279.00","279.50","27,252,850"
04/09/2020,"287.50","288.00","282.50","283.00","27,620,430"
04/08/2020,"285.00","285.50","283.00","285.00","37,912,820"
04/07/2020,"283.50","284.00","280.50","283.00","48,787,340"
04/06/2020,"273.00","275.50","270.00","275.50","56,392,754"
04/01/2020,"276.50","276.50","271.50","271.50","44,515,031"
03/31/2020,"273.00","274.00","269.50","274.00","48,837,922"
03/30/2020,"263.50","269.00","262.50","267.50","49,159,953"
03/27/2020,"284.00","286.00","273.00","273.00","68,752,305"
03/26/2020,"279.50","280.00","275.50","280.00","52,845,633"
03/25/2020,"276.50","280.00","274.00","277.00","79,447,195"
03/24/2020,"268.00","274.00","266.00","267.50","81,952,930"
03/23/2020,"257.00","262.50","252.00","255.00","76,466,703"
03/20/2020,"258.50","270.00","256.00","270.00","157,664,703"
03/19/2020,"252.00","253.00","235.50","248.00","160,811,594"
03/18/2020,"269.50","272.50","260.00","260.00","117,437,602"
03/17/2020,"265.00","276.50","265.00","268.00","121,323,602"
03/16/2020,"285.00","291.00","275.50","276.50","103,873,203"
03/13/2020,"275.00","294.00","272.50","290.00","149,995,109"
03/12/2020,"299.00","299.00","287.00","294.00","113,527,297"
03/11/2020,"309.00","310.50","302.00","302.00","62,216,711"
03/10/2020,"301.50","309.00","301.00","307.00","71,950,125"
03/09/2020,"307.50","310.00","305.50","305.50","87,871,273"
03/06/2020,"320.00","320.50","315.00","315.00","51,546,762"
03/05/2020,"325.00","326.00","323.00","323.00","37,861,520"
03/04/2020,"322.00","322.00","317.00","320.50","42,941,141"
03/03/2020,"318.50","320.00","316.00","317.50","49,679,406"
03/02/2020,"308.00","317.00","308.00","311.00","79,912,945"
02/27/2020,"319.00","320.00","315.00","316.00","61,250,922"
02/26/2020,"317.00","320.50","316.50","318.50","60,479,359"
02/25/2020,"320.00","323.50","317.50","322.00","36,195,008"
02/24/2020,"319.50","321.50","319.50","320.00","41,693,680"
02/21/2020,"325.50","326.50","323.00","325.00","22,813,529"
02/20/2020,"328.00","329.00","325.00","325.50","27,011,730"
02/19/2020,"322.50","327.00","322.00","326.50","38,781,207"
02/18/2020,"324.50","326.50","322.00","322.00","61,825,602"
02/17/2020,"331.50","333.00","330.50","331.50","15,937,070"
02/14/2020,"337.00","337.00","334.50","335.00","16,933,680"
02/13/2020,"338.00","338.00","335.00","335.00","22,757,020"
02/12/2020,"333.50","336.00","333.00","335.00","37,612,633"
02/11/2020,"330.50","332.50","330.00","331.50","27,524,930"
02/10/2020,"321.50","328.00","321.00","327.50","30,632,420"
02/07/2020,"330.00","330.50","326.00","328.00","28,798,320"
02/06/2020,"329.50","332.50","329.00","332.50","29,267,090"
02/05/2020,"329.00","329.50","324.50","327.50","36,601,449"
02/04/2020,"319.00","326.00","318.00","325.00","51,890,488"
02/03/2020,"315.00","316.50","312.00","315.00","59,560,840"
01/31/2020,"323.00","323.50","319.00","320.00","62,526,047"
01/30/2020,"326.00","326.00","316.50","316.50","125,451,000"
01/20/2020,"334.00","335.50","333.00","333.00","32,658,199"
01/17/2020,"334.00","335.50","332.00","333.00","52,060,090"
01/16/2020,"330.00","336.50","330.00","334.50","55,211,422"
01/15/2020,"345.00","345.00","337.50","340.00","47,434,273"
01/14/2020,"345.50","346.00","344.50","346.00","30,223,990"
01/13/2020,"342.00","342.00","339.00","341.50","30,663,330"
01/10/2020,"340.50","341.00","336.00","339.50","27,032,109"
01/09/2020,"335.00","337.50","333.50","337.50","31,481,500"
01/08/2020,"325.00","333.00","325.00","329.50","37,567,738"
01/07/2020,"332.50","333.00","326.50","329.50","50,879,180"
01/06/2020,"333.00","334.50","332.00","332.00","45,343,047"
01/03/2020,"344.00","345.00","335.50","339.50","41,811,262"
01/02/2020,"332.50","339.00","332.50","339.00","31,754,119"
12/31/2019,"331.00","333.50","331.00","331.00","22,890,510"
12/30/2019,"338.00","339.00","334.00","334.50","21,531,260"
12/27/2019,"335.00","338.00","335.00","338.00","16,677,801"
12/26/2019,"333.00","334.00","331.50","333.00","11,427,880"
12/25/2019,"332.00","334.50","331.00","333.00","12,262,950"
12/24/2019,"334.00","334.50","332.00","332.00","13,488,900"
12/23/2019,"329.50","334.00","329.50","334.00","26,639,340"
12/20/2019,"332.00","333.00","328.50","329.00","86,280,445"
12/19/2019,"340.00","342.00","335.00","335.00","54,888,008"
12/18/2019,"341.50","345.00","341.50","344.50","39,682,840"
12/17/2019,"335.00","345.00","335.00","345.00","40,813,449"
12/16/2019,"336.50","338.50","336.00","336.00","33,494,180"
12/13/2019,"340.00","343.00","338.00","339.00","58,198,930"
12/12/2019,"325.00","334.50","324.00","331.50","52,742,848"
12/11/2019,"314.00","319.00","313.00","319.00","31,223,141"
12/10/2019,"315.00","315.50","312.50","313.50","20,570,590"
12/09/2019,"314.00","316.50","314.00","316.00","23,256,080"
12/06/2019,"315.00","316.00","311.00","313.00","17,695,699"
12/05/2019,"309.00","312.00","309.00","312.00","34,521,840"
12/04/2019,"305.00","306.00","304.00","306.00","25,492,680"
12/03/2019,"305.00","307.00","305.00","307.00","24,690,311"
12/02/2019,"307.00","308.00","306.50","307.50","24,016,801"
11/29/2019,"309.00","309.50","305.00","305.00","30,963,561"
11/28/2019,"310.00","312.00","308.50","309.50","19,077,980"
11/27/2019,"307.50","311.50","307.50","311.00","18,467,641"
11/26/2019,"310.00","310.50","307.00","307.00","101,224,602"
11/25/2019,"310.50","310.50","307.00","307.00","19,530,170"
11/22/2019,"310.00","310.50","308.00","309.00","24,737,980"
11/21/2019,"309.50","311.00","307.00","311.00","28,108,830"
11/20/2019,"314.00","314.00","312.00","313.50","22,387,971"
11/19/2019,"312.50","315.00","311.00","315.00","31,634,189"
11/18/2019,"308.50","311.00","307.00","311.00","18,691,320"
11/15/2019,"305.50","307.50","304.50","307.00","28,848,439"
11/14/2019,"304.50","305.00","302.00","303.50","15,734,830"
11/13/2019,"303.00","304.00","301.50","304.00","18,172,430"
11/12/2019,"302.50","305.00","302.00","305.00","17,540,699"
11/11/2019,"305.00","305.00","300.00","301.00","35,165,578"
11/08/2019,"308.50","309.00","305.50","305.50","25,651,539"
11/07/2019,"310.00","310.00","306.50","309.00","28,291,650"
11/06/2019,"309.00","311.50","308.00","311.00","22,149,740"
11/05/2019,"307.50","310.50","307.00","310.50","32,201,180"
11/04/2019,"302.50","308.00","301.00","307.00","44,899,672"
11/01/2019,"299.50","299.50","296.50","299.00","30,121,670"
10/31/2019,"300.00","301.50","298.50","298.50","40,944,512"
10/30/2019,"298.50","299.50","296.50","299.50","32,370,340"
10/29/2019,"297.00","298.50","296.50","298.50","36,682,129"
10/28/2019,"295.00","295.50","294.00","294.50","20,076,561"
10/25/2019,"294.50","294.50","292.50","293.50","22,682,711"
