model,R2,std,RMSE
Random Forest (Tuned),0.2520267645914196,0.1712606902266033,0.07782228652125968
Voting (Top3),0.24155183226309163,0.16189275089791333,0.07846054355072844
Gradient Boosting (Tuned),0.20921339272291792,0.1641134128445281,0.08011737314883931
Stacking (Top3→Ridge),0.12050183400498697,0.06322729288034509,0.08542309650122473
