model,R2_mean,R2_std,RMSE,MAE,category,use_std
Random Forest,0.2621240834704322,0.16402578251427613,0.07699900349989892,0.06321613487853076,ensemble,False
Bagging (DT),0.24646773137926425,0.18235690042112815,0.0777343190988021,0.06469879464447172,ensemble,False
Extra Trees,0.18645147052044608,0.1847744500988788,0.08076224692721402,0.06582272259945836,ensemble,False
Gradient Boosting,0.18090578444586902,0.20911817210223374,0.08093280388197695,0.06575999760604052,boosting,False
AdaBoost,0.17608060068633358,0.13868945381506914,0.08204614041781583,0.06693133104971531,ensemble,False
XGBoost,0.1708932475938481,0.19653260348180102,0.08135077534951578,0.06619788922649546,boosting,False
CatBoost,0.16897530966619337,0.1515835641083511,0.08238223501041053,0.06586292560477155,boosting,False
Bayesian Ridge,0.05965442610505241,0.11015404506822722,0.08816405355665616,0.06969367438421274,robust,True
Lasso,0.04128036756372293,0.13097117477758657,0.08879401481754655,0.06997330367752015,linear,True
ElasticNet,0.031182184814542758,0.13085182191090503,0.08926176146273454,0.07006193894226073,linear,True
Ridge,0.026972440303331104,0.13261448978852125,0.08940452531422853,0.06983165009870435,linear,True
PLS (n=5),0.019364235342599168,0.12534880172776014,0.08978502416422915,0.07034233228392309,linear,True
Huber,-0.003980025404389909,0.14435540370405905,0.0911537910150782,0.07143258465239169,robust,True
Linear Regression,-0.015298419774913618,0.17133170955547503,0.09131347606157499,0.07134352075487879,linear,True
Decision Tree,-0.03336573363844939,0.35220219791646473,0.089383563937744,0.07191948618444895,tree,False
TheilSen,-0.04694410579392638,0.14795195040305556,0.09324742368887198,0.07429694280726809,robust,True
RANSAC+Ridge,-0.0778004248652409,0.09666897805798219,0.09385697957535298,0.07487246189564527,robust,True
LightGBM,-0.08070926456237544,0.3022704397080108,0.09324442295682336,0.07319214777692076,boosting,False
SVR (RBF),-0.0971373257867744,0.2664238059701823,0.09412100020493785,0.0726681978377435,nonlinear,True
KNN (k=5),-0.19452044448127565,0.24718706898379286,0.09809948969872807,0.07626460012332666,nonlinear,True
NuSVR,-0.2984348777884236,0.319212425972303,0.10280750088542444,0.0799444597939687,nonlinear,True
Kernel Ridge,-0.4856436151822412,0.28391861991794337,0.1124870771678068,0.08351966650968833,robust,True
MLP (128-64),-1.504769252964678,0.5492428613312522,0.14284172539586054,0.11248291542943334,nonlinear,True
