model,R2,std,RMSE
Stacking (Top3→Ridge),0.6762229010797544,0.025826039628798498,0.09963484430392616
Voting (Top3),0.675993979162628,0.02569920765413384,0.09967017229025754
Gradient Boosting (Tuned),0.6751456971776102,0.02265091998850238,0.09981171970934519
Random Forest (Tuned),0.67208176910197,0.024214586910071632,0.10024751414982598
AdaBoost (Tuned),0.6692341897986549,0.03126595236598092,0.1007137285207864
HistGradientBoost (Tuned),0.6555983851249694,0.036666265453136566,0.10275160998597542
Extra Trees (Tuned),0.6266121043032171,0.015287658738770684,0.10700070237268146
