model,R2_mean,R2_std,RMSE,MAE,category,use_std
AdaBoost,0.1584683044778667,0.12748015917059236,0.07866585710635293,0.06545826687384225,ensemble,False
CatBoost,0.14693094429133208,0.11975610041055433,0.07924186576069496,0.06584681803275116,boosting,False
Bagging (DT),0.12887272542815925,0.11663235049178396,0.08005429024157983,0.06639370528933244,ensemble,False
Random Forest,0.12007329032261956,0.12544251399564274,0.08044228611524573,0.06665652547978163,ensemble,False
Extra Trees,0.10468464437893436,0.13672389023751355,0.0810970620915841,0.0672776150509542,ensemble,False
Gradient Boosting,0.09543827488244938,0.17784962326174797,0.08136108110262007,0.06742825138491311,boosting,False
SVR (RBF),0.0858968614725825,0.06527411427410931,0.08229886412108073,0.06782170950292447,nonlinear,True
Bayesian Ridge,0.0854703076104649,0.1215678998614133,0.08211326154448778,0.06726639455535224,robust,True
Linear Regression,0.0797487445718165,0.17697987822161634,0.08228607944564335,0.06778289722904932,linear,True
Lasso,0.0787875567535314,0.14999395308079524,0.08237398273224304,0.06731895730281148,linear,True
ElasticNet,0.06854410777064783,0.15928807427158198,0.08281351665973952,0.06778194349182154,linear,True
Ridge,0.0632304987405411,0.1695594326711156,0.08302670050863542,0.06827148577779509,linear,True
PLS (n=5),0.06032250503444041,0.1673387553354797,0.08312764271225859,0.06812552827984378,linear,True
Huber,0.05396048819247952,0.199500289594903,0.08330213288143269,0.06860628290003398,robust,True
XGBoost,0.03301518835562944,0.18639925460354792,0.08437925560078442,0.06971214377074061,boosting,False
LightGBM,0.01730464638444016,0.17471543703265116,0.08516241796395803,0.06847053972346594,boosting,False
TheilSen,0.007649813717214649,0.17376274766476965,0.08529015374593578,0.06791796235968628,robust,True
KNN (k=5),-0.005709766104460145,0.11091622567756229,0.08609309823518131,0.07092826661183159,nonlinear,True
RANSAC+Ridge,-0.09297429728126465,0.24627264133108984,0.08939379246531202,0.07198691528865012,robust,True
NuSVR,-0.2113684536621491,0.12169093903229691,0.0943663851656384,0.07845146083560822,nonlinear,True
Decision Tree,-0.3537061987794242,0.1482431350731345,0.09964694705890483,0.07913248838788614,tree,False
Kernel Ridge,-0.6755470414838195,0.2958192882027151,0.11132178411649873,0.08661042475526036,robust,True
MLP (128-64),-1.457239329222181,0.6767804171746166,0.13388320925764455,0.10374102403391372,nonlinear,True
