model,R2,std,RMSE
Gradient Boosting (Tuned),0.17279393187193817,0.11613833088059294,0.07798522915957389
Voting (Top3),0.16483284954428007,0.10765283904581331,0.0784106016384816
Random Forest (Tuned),0.13965642370116588,0.1050828152007549,0.07960633891035991
Stacking (Top3→Ridge),0.06717129347854549,0.04126654323846817,0.08307643379047605
