model,R2,std,RMSE
Stacking (Top3→Ridge),0.6765961230366708,0.02516035022292537,0.09957578540847867
Voting (Top3),0.6763780596256478,0.024906987554675505,0.09960946019003998
Gradient Boosting (Tuned),0.6751447684841158,0.022651562224091818,0.09981185259624584
Random Forest (Tuned),0.6720720463011272,0.024234313349043884,0.10024924347915062
AdaBoost (Tuned),0.6702664947567526,0.028639379085831664,0.10055015275657389
HistGradientBoost (Tuned),0.6555983851249694,0.036666265453136566,0.10275160998597542
Extra Trees (Tuned),0.6266121043032172,0.015287658738770714,0.10700070237268146
