iter	RMSE
0	0.1730327375
1	0.1720099251
2	0.1709440275
3	0.170033087644	0.169046783
5	0.1681437885
6	0.1671551209
7	0.1663376227
8	0.1653446465
9	0.1644501073
10	0.1635370061
11	0.1626825946
12	0.1617867316
13	0.1609460599
14	0.1601806062
15	0.1593366965
16	0.1585237809
17	0.1576220611
18	0.1567904359
19	0.1560156629
20	0.1552388982
21	0.1545862775
22	0.1537752411
23	0.1529511246
24	0.1522344117
25	0.1515100871
26	0.1508320398
27	0.1502233977
28	0.1495048308229	0.1487742273030	0.14803680331	0.1478578205
32	0.1472077033	33	0.1466687734	34	0.1460309635	35	0.1454490936	36	0.1447322837	37	0.1441931338	0.1449618743
3939	0.14291580140	0.1435744646
41	0.1429514251
4242	0.1410094404343	0.1403693394444	0.1397836344545	45	0.138795464646	0.1382239474747	0.1376372484848	0.1370537494949	0.1365725505050	0.1359742515151	0.135427452	052	0.134908953	053	0.13438954	0.1356216688
55	0.1350888785
56	0.1345736829
57	0.1341081516
58	0.1337012815
59	0.1332398818
60	0.1327207092
61	0.1322199809
62	0.1317024571
63	0.1312470263
64	0.130821465
65	0.1303490923
66	0.1298739158
67	0.1294663619
68	0.1290362867
69	0.1285594287
70	0.1281690434
71	0.127735566
72	0.1272631259
73	0.1267963344
74	0.126433147
75	0.1259885361
76	0.1256708684
77	0.1252833124
78	0.1248611912
79	0.1244615694
80	0.1240615478181	0.1237038018282	0.1233201048383	0.1229784942
84	0.1226202062
85	0.1223187215
86	0.1219165969
87	0.1215443762
88	0.1212725701
89	0.1209561123
90	0.1206396021
91	0.1203310514
92	0.1199676068
93	0.1196514055
94	0.1193010815
95	0.1190543132
96	0.1187580745
97	0.1184516519
98	0.1181695816
99	0.1179338945
100	0.1176310381
101	0.117347301
102	0.1170671121
103	0.1168138302
104	0.1165371803
105	0.1162796599
106	0.1160242513
107	0.1158324843
108	0.1155434021
109	0.1152991569
110	0.1150542793
111	0.1148449699
112	0.1146249303
113	0.1143590503
114	0.1141361592
115	0.1139229127
116	0.1136884666
117	0.1135103157
118	0.1133146578
119	0.1130934089
120	0.1128575162
121	0.1126367287
122	0.1124193406
123	0.1122425934
124	0.1120322509
125	0.1118322263
126	0.1116673557
127	0.1114574815
128	0.1112786619
129	0.1110796477
130	0.1108938927
131	0.1106963136
132	0.1105071932
133	0.1103195422
134	0.1101306455
135	0.1099681883
136	0.1097773328
137	0.1096014588
138	0.1094299544
139	0.1092591265
140	0.1090625074
141	0.1088952065
142	0.108742968
143	0.1085742309
144	0.1084329931
145	0.1082704881
146	0.1081147785
147	0.1079738579
148	0.1078430777
149	0.1076966977
150	0.1075634701
151	0.1074125342
152	0.1072658279
153	0.1071212988
154	0.1069655894
155	0.1068445698
156	0.106716986
157	0.1065832677
158	0.1064498534
159	0.1063487999
160	0.1062376796
161	0.1061265731
162	0.1060127941
163	0.1058897858
164	0.1057545486
165	0.1056925286
166	0.105589595
167	0.1054567516
168	0.1053499622
169	0.1052398786
170	0.1051303919
171	0.1050228255
172	0.1049143043
173	0.1047918049
174	0.1046754934
175	0.1045607641
176	0.1044415917
177	0.1043320092
178	0.1042340759
179	0.104139589
180	0.1040299635
181	0.1039374505
182	0.1038484295
183	0.1037502567
184	0.1036686994
185	0.1035727381
186	0.1034901656
187	0.1033997391
188	0.1033000698
189	0.1032116366
190	0.1031113328
191	0.1030397459
192	0.1029472157
193	0.1028583137
194	0.1027790358
195	0.1026981006
196	0.1026116718
197	0.1025236226
198	0.1024437832
199	0.1023619646
200	0.1022892087
201	0.1022010023
202	0.1021287126
203	0.1020717193
204	0.101996327
205	0.1019260761
206	0.1018363579
207	0.1017620502
208	0.1017073741
209	0.1016512755
210	0.1016049235
211	0.1015381613
212	0.1014834105
213	0.1014057567
214	0.1013588074
215	0.1012938037
216	0.1012356008
217	0.1011897556
218	0.1011291006
219	0.1010627394
220	0.1010018109
221	0.1009256834
222	0.100877775
223	0.100798164
224	0.1007180339
225	0.1006487445
226	0.1005913584
227	0.100536442
228	0.100486652
229	0.1004170222
230	0.1003484481
231	0.1002869974
232	0.1002230624
233	0.1001590985
234	0.100109455
235	0.100060007
236	0.09999542432
237	0.09995053643
238	0.0998959282
239	0.09983882667
240	0.0997945382
241	0.09973768297
242	0.09967513868
243	0.09961312644
244	0.09955421115
245	0.09949796755
246	0.09945178667
247	0.09941026654
248	0.09935931201
249	0.09932244533
250	0.09927878084
251	0.09923871044
252	0.09918082704
253	0.09913406532
254	0.09909593489
255	0.099044396
256	0.09898751911
257	0.09896153568
258	0.09890320964
259	0.09886598749
260	0.09882409558
261	0.0987592619
262	0.09870449734
263	0.09865067214
264	0.098611905
265	0.09856644696
266	0.09850800254
267	0.09846453817
268	0.09843068762
269	0.09839333045
270	0.09835282376
271	0.0983218627
272	0.09828135133
273	0.0982522797
274	0.09822636642
275	0.09817965492
276	0.09813355081
277	0.09809006013
278	0.09805513931
279	0.09800220683
280	0.0979548779
281	0.0979099515
282	0.09786277224
283	0.09782166673
284	0.09778443737
285	0.09773610291
286	0.09768601007
287	0.09764443422
288	0.09760193762
289	0.09756010497
290	0.09752868144
291	0.09749553008
292	0.09746352603
293	0.0974193252
294	0.09739867898
295	0.09735477216
296	0.09732631711
297	0.09728334894
298	0.09724769817
299	0.09720840628
418344
583
299	0.09633639273
