model,R2,std,RMSE
Random Forest (Tuned),0.3856781227872646,0.02239505804106322,0.12335209339039575
Voting (Top3),0.3785367744028513,0.02353318620255036,0.12408232306408959
Stacking (Top3→Ridge),0.3727689471125465,0.01857643560704567,0.12471730736243117
Gradient Boosting (Tuned),0.35612154578714306,0.03525545535952972,0.1262635907580295
