model,R2_mean,R2_std,RMSE,MAE,category,use_std
Bagging (DT),0.3709228455752779,0.03647621117014563,0.12474908161673867,0.10501221389314055,ensemble,False
Random Forest,0.34267187810291716,0.05423080775171753,0.12733818885371975,0.10667213901514752,ensemble,False
AdaBoost,0.3348703875685149,0.0649995553126405,0.1278611155974371,0.10758265290319977,ensemble,False
Gradient Boosting,0.32561467002164185,0.036112147107024296,0.1292669294455207,0.10895786792458435,boosting,False
XGBoost,0.29647845060740846,0.06720572186765487,0.1316349885829082,0.10931146774000781,boosting,False
Extra Trees,0.2889837261659075,0.027944007244482847,0.13277118689064082,0.11159296504088916,ensemble,False
LightGBM,0.2550489566584596,0.08244878051552715,0.13524816887879293,0.11123909303907631,boosting,False
Bayesian Ridge,0.22092556244711398,0.04858500269090722,0.13887007760727357,0.11555985994975818,robust,True
Lasso,0.21119486974130575,0.05514673271356555,0.13968635856682204,0.11582504637850266,linear,True
ElasticNet,0.20736298497026384,0.055826148096134176,0.1400476188094933,0.11606163038911732,linear,True
PLS (n=5),0.20448632173647724,0.05962708680756045,0.14025959904032723,0.11623772292851031,linear,True
Ridge,0.19964464824804198,0.05744136433391167,0.14077203856325848,0.11663843633296382,linear,True
Linear Regression,0.19293809207418172,0.053236185825322586,0.14146322592147295,0.11694573971546793,linear,True
Huber,0.18052137378215694,0.04534052410061443,0.1427250970518859,0.11830011658823052,robust,True
RANSAC+Ridge,0.14239027742560337,0.062054796402176024,0.14559762972464244,0.12212811971021305,robust,True
SVR (RBF),0.10541224903441579,0.02688341102574236,0.14901910781128824,0.12309679151000144,nonlinear,True
Decision Tree,0.06951303708761603,0.16762823075641375,0.1506078413926678,0.12099693243747041,tree,False
KNN (k=5),0.05675762682657324,0.08956699577869799,0.15272927150738042,0.1224370602260351,nonlinear,True
TheilSen,0.0038755991271786972,0.031408975048398,0.15718722281490433,0.12859495884159536,robust,True
NuSVR,-0.07072654312197946,0.0703255937565547,0.16252239916400624,0.12984711586648884,nonlinear,True
Kernel Ridge,-0.2618209222496971,0.09742026080401964,0.1764672716838555,0.14075228384372002,robust,True
MLP (128-64),-0.6267871213270514,0.188437326757882,0.20085447502109613,0.15990258024234766,nonlinear,True
CatBoost,,,,,boosting,False
