model,R2,std,RMSE
Gradient Boosting (Tuned),0.009416191997922874,0.15821700777231487,0.08710534791145379
Voting (Top3),-0.00840960844436578,0.15816114866845304,0.08772948295988407
Random Forest (Tuned),-0.0359065835116265,0.16663759754354343,0.08872275666486441
Stacking (Top3→Ridge),-0.09486488185388546,0.12047418774413536,0.09240307827604513
