model,R2,std,RMSE
Gradient Boosting (Tuned),0.22105346358959288,0.05678446897223942,0.12916881076861197
Voting (Top3),0.21551799035974956,0.06103847028159404,0.12966682529145446
Random Forest (Tuned),0.20190069801384106,0.06853618837441182,0.13080992292350302
Stacking (Top3→Ridge),0.1436394876654404,0.035647597016029334,0.1358513392090145
