model,R2_mean,R2_std,RMSE,MAE,category,use_std
Bagging (DT),0.2122476051619729,0.06819916648201581,0.1296583563516002,0.10949028396525085,ensemble,False
Random Forest,0.19638475498865088,0.08006435267563633,0.13081212398767622,0.11094465942372841,ensemble,False
AdaBoost,0.18026879809258906,0.0782702626076925,0.13231717818641486,0.11234594072808632,ensemble,False
CatBoost,0.15907509847430953,0.09008403609036218,0.13416559656627694,0.11523522197566327,boosting,False
Extra Trees,0.13928226042295125,0.08765541508742485,0.1355678206059897,0.11525018375913261,ensemble,False
XGBoost,0.11966120400297167,0.1341214159803431,0.13667161990152246,0.1149498198031101,boosting,False
Gradient Boosting,0.11636398477551195,0.12329637084762239,0.13709010356197168,0.11531479727719851,boosting,False
Bayesian Ridge,0.11143013168593549,0.11887928105724843,0.13761329985726933,0.11654799242687408,robust,True
LightGBM,0.08065356404608277,0.1152586599940099,0.1398260301319728,0.11742818267157125,boosting,False
Lasso,0.064225260415363,0.18740500828310386,0.14049732070771423,0.11919965045325168,linear,True
ElasticNet,0.054556854406727064,0.19401410335586403,0.14118270610361536,0.11972996262793845,linear,True
Ridge,0.05216781387826157,0.199642365042763,0.1413279769989072,0.11986588780714949,linear,True
PLS (n=5),0.04569394436806373,0.2023824932183445,0.14177251075424213,0.12021923632462801,linear,True
SVR (RBF),0.03693108482069849,0.11350257361393527,0.14317796892507728,0.12111035123595762,nonlinear,True
Linear Regression,0.02494314360696066,0.1933233355784412,0.14350397937938164,0.12198315266423183,linear,True
KNN (k=5),-0.05076260165852855,0.11584625914667097,0.14973709854093611,0.12593420039037334,nonlinear,True
Huber,-0.05633280811979815,0.21177577236318046,0.14934975512858295,0.1260617840018014,robust,True
TheilSen,-0.16924776056769936,0.29959736956827354,0.15653052877676513,0.13122860640449535,robust,True
NuSVR,-0.20263626301103582,0.11883432079746471,0.1603089907731635,0.13378587816413287,nonlinear,True
RANSAC+Ridge,-0.26462444404683094,0.33713791686477396,0.16236802365387343,0.1354305026253826,robust,True
Decision Tree,-0.3926317843978687,0.21831517652109142,0.1716304489913056,0.13927887861426597,tree,False
Kernel Ridge,-0.5811740836506372,0.20089706011568237,0.18451150069998654,0.145929976297884,robust,True
MLP (128-64),-0.8400432307429858,0.35157760800649657,0.19828618832252748,0.1632980860705267,nonlinear,True
